essay_id,essay_set,essay,domain1_score,cleaned_essay,normalized_score
14834,6,"There were many obstacles that the builders faced in attempting to have dirigibles dock at the Empire State Building. Safety was an issue with the dirigibles because of the highly flammable gas hydrogen. So, if the dirigibles explode over New York many people could be killed in the very populated. Another problem is keeping the derigible @CAPS1 so people can get off while the wind moves the back end of itself. The only way was to tie lead weights down in the back of the dirigible, but it would be dangerous over people down below. So, these obstacles workers faced, never got past them and so they made the world's highest soda fountain and tea garden for tourists in the observation area.",2,many obstacle builder faced attempting dirigible dock empire state building safety issue dirigible highly flammable gas hydrogen dirigible explode new york many people could killed populated another problem keeping derigible cap people get wind move back end way tie lead weight back dirigible would dangerous people obstacle worker faced never got past made world highest soda fountain tea garden tourist observation area,0.5
14835,6,"Him from the start, there would have been many problems with allowing dirigibles to dock some @NUM1 feet in the air. The major problem here would be that the Empire State building was being constructed in New York City, a highly populated area. Below the mooring mast would be several other buildings were other people worked and lived. If something happened while he dirigible was attempting to dock, it could take out the building and the lives of the people in it. Not only that, but below were the city streets, where pedestrians walked. In paragraphs @NUM2, the passage also talks about the stress of a heavy, steel framed airship mooring at the top of the building. The frame would need to be very dense and, as the architects of the project discovered expensive. Other safety issues include the high winds that would drift the dirigibles off course, and the safety of dirigibles themselves. The passage mentions the Hindenburg incident, as well as the worry the owners of the building had about that happening over such a densely populated area.",3,start would many problem allowing dirigible dock num foot air major problem would empire state building constructed new york city highly populated area mooring mast would several building people worked lived something happened dirigible attempting dock could take building life people city street pedestrian walked paragraph num passage also talk stress heavy steel framed airship mooring top building frame would need dense architect project discovered expensive safety issue include high wind would drift dirigible course safety dirigible passage mention hindenburg incident well worry owner building happening densely populated area,0.75
14836,6,"The builders of the Empire State Building faced many obstacles while attempting to allow dirigibles to dock there. one obstacle was that the dirigible would have to be held by a single cable tether. This would add stress to the building's frame in order to make the frame or sturdy, there was modifications to the building's framework which cost over sixty thousand dollars. Another obstacle the builders faced was the dirigible's use of hydrogen which is highly flammable. Since New York was a densely populated area, this would not work out well. The dirigibles would also have to be weighted down in the back with lead weights. In order to do so, the lead weights would end up dangling high above pedestrians on the street which was a safety issue one last obstacle the builders faced was the law against airships flying too low over urban areas. This law made it illegal for a ship to ever tie up to the building or approach the area.",4,builder empire state building faced many obstacle attempting allow dirigible dock one obstacle dirigible would held single cable tether would add stress building frame order make frame sturdy modification building framework cost sixty thousand dollar another obstacle builder faced dirigible use hydrogen highly flammable since new york densely populated area would work well dirigible would also weighted back lead weight order lead weight would end dangling high pedestrian street safety issue one last obstacle builder faced law airship flying low urban area law made illegal ship ever tie building approach area,1.0
14837,6,"In the passage The Mooring Mast by Marcia Amidon @CAPS1. The builders of the Empire State Building faced opstacles in the building of the Empire State Building, in allowing dirigibles to dock there.One reason is that Al Smith (four-term governor of New York who headed efforts to construct the Empire State Building after his years in office) had made the tower tall... The hight of the building was 1,250 ft. But after almost losing the title of worlds tallest tower he announced that there would be a top or hat put on the tower.Another reason is the tower was made for Dirigibles (blimps) That Could @CAPS2 people from New York to New Jersey. Smith wanted a place where dirigibles could dock off. But it never happened because the German dirigible ""Hindenburg"" was destroyed by fire in Lakehurst, New Jersey, and on May 6, 1937 the owners of the State building realized how much worse that accident could have been if it was over New York.In the 1930's the idea was dropped after another dirigible was trying to proform a stunt. The Empire State Building never got to fofil what it was made for.",1,passage mooring mast marcia amidon cap builder empire state building faced opstacles building empire state building allowing dirigible dock thereone reason al smith fourterm governor new york headed effort construct empire state building year office made tower tall hight building ft almost losing title world tallest tower announced would top hat put toweranother reason tower made dirigible blimp could cap people new york new jersey smith wanted place dirigible could dock never happened german dirigible hindenburg destroyed fire lakehurst new jersey may owner state building realized much worse accident could new yorkin idea dropped another dirigible trying proform stunt empire state building never got fofil made,0.25
14838,6,"The builders of the Empire State Building faced many obstacles in attempting to allow dirigibles to dock there. The first obstacle they faced was the existing law against airships flying too low in urban areas. This made it illegal for the dirigible to tie up on the building. Another obstacle faced in allowing dirigibles to dock was safety. Most dirigibles used hydrogen which was highly flammable. If a dirigible caught fire over the densely populated area of New York, there would be a good chance that many people would be hurt. A final obstacle faced was ""nature itself."" The winds on the top of the Empire State building were constantly shifting due to violent air currents. Even though a dirigible would be attached to the mooring mast, the back of it would move around the mooring mast in a dangerous way. Many obstacles were faced by the workers of the Empire State Building in order to allow a dirigible to dock there.",3,builder empire state building faced many obstacle attempting allow dirigible dock first obstacle faced existing law airship flying low urban area made illegal dirigible tie building another obstacle faced allowing dirigible dock safety dirigible used hydrogen highly flammable dirigible caught fire densely populated area new york would good chance many people would hurt final obstacle faced nature wind top empire state building constantly shifting due violent air current even though dirigible would attached mooring mast back would move around mooring mast dangerous way many obstacle faced worker empire state building order allow dirigible dock,0.75
14839,6,"soon after it's conception, The Empire State Building mooring mast was doomed to fail. Early obstacles were easily surmounted, for example the problem of added stress on the building's frame caused by the added weight of the moored airship. This was fixed by structural modifications to the building's frame, an expensive but fairly simple procedure. one of the biggest blows to the project was the advent of the Hindenburg disaster. The Hindenburg disaster was the cause of the forefront of a decline in airships. Airplanes became a safer, faster, more designer form of transportation. In addition to the Hindenburg disaster, it soon became clear that mooring and airship at @NUM1'or higher was not feasible. Surging winds would not allow the airship to maintain it's course and the ship would be blown erratically around the mast. The final nail in the coffin for the mooring mast was a law prohibiting airship travel over urban areas. These multiple factors easily disallowed any possibility of successful airship travel in the future.",4,soon conception empire state building mooring mast doomed fail early obstacle easily surmounted example problem added stress building frame caused added weight moored airship fixed structural modification building frame expensive fairly simple procedure one biggest blow project advent hindenburg disaster hindenburg disaster cause forefront decline airship airplane became safer faster designer form transportation addition hindenburg disaster soon became clear mooring airship numor higher feasible surging wind would allow airship maintain course ship would blown erratically around mast final nail coffin mooring mast law prohibiting airship travel urban area multiple factor easily disallowed possibility successful airship travel future,1.0
14840,6,The builders of the Empire @CAPS1 Building were faced with obstacles while attempting to allow derigibles to dock there. The architects realized they could not put the mooring mast on top of the building without modifying and strengthening the steel frame of the building. The stress of the dirigible's load and the wind pressure would add too much weight to the framework which could cause it to collapse. They strengthened the framework from the bottom of the building to the top before putting the shiny glass and chrome-nickel stainless steel tower on the top of the building. The builders were faced with these obstacles but they were successful in completing their goal. The mooring mast is not used as a docking station but it is still looked at as the final peice that makes the Empire State Building stand out above all buildings in downtown New York City.,3,builder empire cap building faced obstacle attempting allow derigibles dock architect realized could put mooring mast top building without modifying strengthening steel frame building stress dirigible load wind pressure would add much weight framework could cause collapse strengthened framework bottom building top putting shiny glass chromenickel stainless steel tower top building builder faced obstacle successful completing goal mooring mast used docking station still looked final peice make empire state building stand building downtown new york city,0.75
14841,6,"In the excerpt ""The Mooring Mast"" by Marcia Amidon Lüsted, many complications occurred during the plans and construction of the attempted docking mast. One obstacle was that dirigibles were just too heavy and the metal frame of the building would have to be modified. After repairing the framework of the Empire State Building, two trial runs were displayed by the @ORGANIZATION3 dirigible ""Los Angeles"" and the Goodyear blimp ""Columbia"". The result of the expirament were that the wind current, physically, didn't allow the blimp to come close enough to the building to dock Also, ""an existing law against airships flying too low over urban cities"" was an obstacle they could not surpass. Within years of postponing their efforts, airplanes made way and dirigibles, as transportation, were long forgotten.",3,excerpt mooring mast marcia amidon lüsted many complication occurred plan construction attempted docking mast one obstacle dirigible heavy metal frame building would modified repairing framework empire state building two trial run displayed organization dirigible los angeles goodyear blimp columbia result expirament wind current physically didnt allow blimp come close enough building dock also existing law airship flying low urban city obstacle could surpass within year postponing effort airplane made way dirigible transportation long forgotten,0.75
14842,6,The obstacles the builders face were great. They explained how most dirigibles from outside the @LOCATION1 use a different gas called hydrogen which is highly flammable. Following that they told @LOCATION1 how Hindenburg by fire in 1937 which used hydrogen. They realized if this had happen in a urban area it could have been worse. Anthore obstacle they faced was the wind. If the dirigible was parked at mooring mast the violent wind speeds would make the Blimp shift and cause strees on the building steel frame. The greatest obstacle was the law passed. The law stated that no airships could fly to low in urban areas. This would keep blimps from landing there.,3,obstacle builder face great explained dirigible outside location use different gas called hydrogen highly flammable following told location hindenburg fire used hydrogen realized happen urban area could worse anthore obstacle faced wind dirigible parked mooring mast violent wind speed would make blimp shift cause strees building steel frame greatest obstacle law passed law stated airship could fly low urban area would keep blimp landing,0.75
14843,6,"The builders of the Empire State Building a great idea. They wanted to be able to tethered dirigibles, or blimps, to the top of the building. However, there were many problems with this idea. First of all, blimps themselves were not very sturdy. Strong winds could easily blow dirigibles trying to dock into the spires of other buildings. Dirigibles also started to use hydrogen gas rather than Helium. Hydrogen gas is extremely flammable. The smallest the sparking could set the whole blimp ablaze. The docking system its self was also a problem. The only way to keep a dirigible level was to hang lead weights off the side. One concern was that a way could fall off and fall into the densely populated city below. This could've proved very disastrous!",3,builder empire state building great idea wanted able tethered dirigible blimp top building however many problem idea first blimp sturdy strong wind could easily blow dirigible trying dock spire building dirigible also started use hydrogen gas rather helium hydrogen gas extremely flammable smallest sparking could set whole blimp ablaze docking system self also problem way keep dirigible level hang lead weight side one concern way could fall fall densely populated city couldve proved disastrous,0.75
14844,6,"The Empire State Building's docking zone was a magnificent and novel idea when it was first concieved but it was too difficult to implement. Al Smith, who spearheaded the operation, was too over anxious to complete it. Since not enough time was devoted to researching the risk's and structure of the dock, the plan to mount it on top the Empire State Building was already a failure.       Before the construction even began, trouble started to brew. The building couldn't withstand the stress of the @DATE1 foot long dirigible. The shock to the building would have transmitted tremendous pressure to the foundation. So the roof would have to be re-done in order for it to be structurally sound. After many months and @NUM1 dollars, the creation of the landing dock could begin.       Life is precious, and the landing dock was too volatile and dangerous to be used. The architects overlooked the fact that most foreign ones were made of hydrogen not helium. Hydrogen is extremely Flammable. In @LOCATION1, the Hindenburg, which was constructed using hydrogen caught aflame and killed hundreds. There was even a law stating that aircraft could not be suspended so close to an urban area. The idea was ostentatious and showy but because it was rushed, precautions were not taken into account. The obstacles that faced the docking station were too much, so finally the plan to erect it was abandoned.",3,empire state building docking zone magnificent novel idea first concieved difficult implement al smith spearheaded operation anxious complete since enough time devoted researching risk structure dock plan mount top empire state building already failure construction even began trouble started brew building couldnt withstand stress date foot long dirigible shock building would transmitted tremendous pressure foundation roof would redone order structurally sound many month num dollar creation landing dock could begin life precious landing dock volatile dangerous used architect overlooked fact foreign one made hydrogen helium hydrogen extremely flammable location hindenburg constructed using hydrogen caught aflame killed hundred even law stating aircraft could suspended close urban area idea ostentatious showy rushed precaution taken account obstacle faced docking station much finally plan erect abandoned,0.75
14845,6,"During the construction of the Empire State Building to allow dirigibles to dock, there were constant obstacles faced by the builders. Architects could not place a mooring mast on top of the Empire State building. @NUM1 ft dirigibles would add stress the buildings framework, therefore causing the architects to modify the framework. This would cost them an extra @MONEY1 for the modifications. The Architects don't know if these modifications will help. Safety is another concern. Foreign dirigibles used hydrogen rather than helium, which is highly flammable. For example ""When the German dirigible Hindenburg was destroyed by fire in Lakehurst, New Jersey, on May 6, 1937, the owners of the Empire State Building realized how much worse that accident could have been if it had taken place over a densely populated area such as downtown New York."" The Architects also had to worry about @ORGANIZATION2 and the constant shifting of the winds due to violent air currents. ""Even if the dirigible were tethered to the mooring mast, the back of the ship which swivel around and around the mooring mast."" @CAPS1 dirigibles land in open fields where they are weighed down so they won't drift away, except it is impossible to weigh down the dirigible in the air. They dangle high above pedestrians walking around on the streets, therefore making it not safe. There is also the law against airships flying too low over urban areas. ""This law would make it illegal for a ship to ever tie up to a building or even approach the area."" There were two attempts to dock on the building. @NUM2 was in December 1930, the @ORGANIZATION3 dirigible Los Angeles Attempted to dock except it couldn't get close enough to to high velocity winds. ""By the late 1930s, the idea of using the mooring mast for dirigibles and their passengers had quietly disappeared."" Airplanes became the future.",4,construction empire state building allow dirigible dock constant obstacle faced builder architect could place mooring mast top empire state building num ft dirigible would add stress building framework therefore causing architect modify framework would cost extra money modification architect know modification help safety another concern foreign dirigible used hydrogen rather helium highly flammable example german dirigible hindenburg destroyed fire lakehurst new jersey may owner empire state building realized much worse accident could taken place densely populated area downtown new york architect also worry organization constant shifting wind due violent air current even dirigible tethered mooring mast back ship swivel around around mooring mast cap dirigible land open field weighed drift away except impossible weigh dirigible air dangle high pedestrian walking around street therefore making safe also law airship flying low urban area law would make illegal ship ever tie building even approach area two attempt dock building num december organization dirigible los angeles attempted dock except couldnt get close enough high velocity wind late idea using mooring mast dirigible passenger quietly disappeared airplane became future,1.0
14846,6,"The builders of the Empire State Building faced many obstacles trying to construct this marvelous building One obstacle was making sure the stress of the building from the dirigible would go to the foundation of the building and not the top or middle where it could cause it to collapse. As said in the text ""The steel frame of the Empire State Building would have to be modified and strengthened to accommodate this new situation. Over @MONEY1 worth of modifications had to be made to the building's framework."" @CAPS1 the building had to be changed in many ways to make it stable enough for dirigible to dock.Another obstacle was the weather above the building which was very strong winds and air currents. This would mean that the dirigible would just be ""dangling high above pedestrians on the street"" and that's not a safe thing to have highly flammable hydrogen floating around above millions. An obstacle as well that came with these dirigibles was all the time and effort they had to put in to learn how to safely install a mooring mast. This took people going to professionals like the Navy and finding out the proper way. The mooring mast on the Empire State Building caused many obstacles to get in the way.",4,builder empire state building faced many obstacle trying construct marvelous building one obstacle making sure stress building dirigible would go foundation building top middle could cause collapse said text steel frame empire state building would modified strengthened accommodate new situation money worth modification made building framework cap building changed many way make stable enough dirigible dockanother obstacle weather building strong wind air current would mean dirigible would dangling high pedestrian street thats safe thing highly flammable hydrogen floating around million obstacle well came dirigible time effort put learn safely install mooring mast took people going professional like navy finding proper way mooring mast empire state building caused many obstacle get way,1.0
14847,6,"The builders of the Empire State Building faced many obstacles in their attempts to allow dirigibles to dock at the mooring mast. Al Smith was the architect, and man behind the idea of the Empire State building. He and the maker of the Chrysler building were competing against eachother to construct the world's tallest building. To make the Empire State building bigger than the Chrysler building, Smith was going to construct somthing that John Tauranac stated, ""Would be equipped for an age of transportation that was only the dream of aviation pioneers"". That dream was to travel by blimp. The Empire State Building was going to have a mooring mast at its top for the dock of air ships. It was not going to be as easy as the concept. The architects couldn't drop a mooring mass on the roof because it would stress the buildings frame. The greatest reason the mast would never fufill its destiny was for safety. The excerpt states, ""Most derigibles used hydrogen"". Hydrogen is flammable. There was also a law that was, ""against air ships flying too low over urban areas"". After numberous attempts and modifications, the idea was shelved.",3,builder empire state building faced many obstacle attempt allow dirigible dock mooring mast al smith architect man behind idea empire state building maker chrysler building competing eachother construct world tallest building make empire state building bigger chrysler building smith going construct somthing john tauranac stated would equipped age transportation dream aviation pioneer dream travel blimp empire state building going mooring mast top dock air ship going easy concept architect couldnt drop mooring mass roof would stress building frame greatest reason mast would never fufill destiny safety excerpt state derigibles used hydrogen hydrogen flammable also law air ship flying low urban area numberous attempt modification idea shelved,0.75
14848,6,"The obstacles the builders of the Empire state Building faced in attempting to allow dirigibles to dock there was the lack of a suitable landing area. A mooring mast added to the top of the building would dirigible's to anchor there for several hours for refueling or service, and to let passengers off and on, the electric winch, which hauled in a line from the front of the ship and then tied it to a mast. The body of the dirigible could swing in the breeze, and get passengers could safely get on and off The dirigible by walking down a gang @CAPS1 to an open observation platform. They of the Empire state Building consulted with experts, taking tours of the equipment and mooring operations of the U.S. Naval Air station in Lakehurst, New Jersey.",2,obstacle builder empire state building faced attempting allow dirigible dock lack suitable landing area mooring mast added top building would dirigible anchor several hour refueling service let passenger electric winch hauled line front ship tied mast body dirigible could swing breeze get passenger could safely get dirigible walking gang cap open observation platform empire state building consulted expert taking tour equipment mooring operation u naval air station lakehurst new jersey,0.5
14849,6,"The @CAPS1 The Mooring Mast by Marcia Amidon Lüsted, shows the thoughtful, intelligent, yet obstacled ideas of attaching a landing dock to the Empire State building. The obstacles that builders of the Empire State building had to overcome were that wind speeds where the dirigibles would land were too strong and would whip the balloon around like a rag doll. They would ""have to use lead weights"" which would pose another problem, questioning the foundation of the building. The weight of the building also the weight of the lead weights might collapse the structure. The gases they use ""hydrogen and hellium"" make the balloon fly, but hydrogen ""is highly flamable and can't be used in populated areas."" There was ""an existing law against airships flying too low over urban areas."" @CAPS2 are the obstacles and the reason ""the mooring mast of The Empire State building was destined never to fullfill its purpose"".",3,cap mooring mast marcia amidon lüsted show thoughtful intelligent yet obstacled idea attaching landing dock empire state building obstacle builder empire state building overcome wind speed dirigible would land strong would whip balloon around like rag doll would use lead weight would pose another problem questioning foundation building weight building also weight lead weight might collapse structure gas use hydrogen hellium make balloon fly hydrogen highly flamable cannot used populated area existing law airship flying low urban area cap obstacle reason mooring mast empire state building destined never fullfill purpose,0.75
14850,6,"In Marcia Amidon Lüsted's excerpt, The Mooring Mast, many obstacles had the engineers of the Empire state building looking for a new way to dock dirigibles. One obstacle they had to face was the steel work of the building. The pressure of the wind and the dirigibles load had cost the company @MONEY1. Secondly, they had to design a few special floors for the passengers of the dirigibles. One floor would be for baggage and suitcases while a special observation deck was set up for passengers to exit or enter the ship. Lastly, the building would now be 102 floors and would need to be very durable so special materials were needed to be brought in and used to create the building. All in all, the Empire State Building engineers had to overcome many obstacles when constructing the 1,250 ft. building.",1,marcia amidon lüsteds excerpt mooring mast many obstacle engineer empire state building looking new way dock dirigible one obstacle face steel work building pressure wind dirigible load cost company money secondly design special floor passenger dirigible one floor would baggage suitcase special observation deck set passenger exit enter ship lastly building would floor would need durable special material needed brought used create building empire state building engineer overcome many obstacle constructing ft building,0.25
14851,6,"The builders of the empire state buildings had many problems in allowing dirigibles to dock there. Things such as the wind, the actual docking, and the people getting off safely. The actual docking was impractical it would be nearly impossible to connect the winch.     The wind was the main reason for the fate of the mast. First the wind current was so strong that the pilot would have a very difficult time getting close enough. The captain of the, ""Navy dirigible Los Angeles approached the mooring mast but could not get close enough to tie up because of the forceful winds. Also even if it could tie up the back of the dirigible would swing around fiercefuly. So the builders were dealing with an impractical task",3,builder empire state building many problem allowing dirigible dock thing wind actual docking people getting safely actual docking impractical would nearly impossible connect winch wind main reason fate mast first wind current strong pilot would difficult time getting close enough captain navy dirigible los angeles approached mooring mast could get close enough tie forceful wind also even could tie back dirigible would swing around fiercefuly builder dealing impractical task,0.75
14852,6,"The first obstacle that it faced with having to reconstruct the body frame so that it could support the mooring mast, The second is that dirigibles from other country's used hydrogen, wich is highly flammable, instead of helium. The third reason wich should have been apparent from the start was a law against airships flying too low over urban areas. The last reason is the wind conditions at that hight made it impossible for the dirigibles to land there without the tail and swaying in the wind.",3,first obstacle faced reconstruct body frame could support mooring mast second dirigible country used hydrogen wich highly flammable instead helium third reason wich apparent start law airship flying low urban area last reason wind condition hight made impossible dirigible land without tail swaying wind,0.75
14853,6,"The obstacles the builders of the Empire State Building faced in attempting to allow dirigibles to dock there are stress to the building's frame. The stress of the dirigible's load and the wind pressure would have to be transmitted all the way to the building's foundation, which was nearly eleven hundred feet below. The steel frame of the Empire State Building would have to be modified and strengthened to accommodate this new situation. Over sixty thousand dollars worth of modifications had to be made to the building's framework.",2,obstacle builder empire state building faced attempting allow dirigible dock stress building frame stress dirigible load wind pressure would transmitted way building foundation nearly eleven hundred foot steel frame empire state building would modified strengthened accommodate new situation sixty thousand dollar worth modification made building framework,0.5
14854,6,"The builders of the Empire State Building faced many obstacles in an attempt to allow dirigibles to dock there. One major obstacle was constructing a mooring mast that would not threaten the buildings structure. The builders had to modify and strengthen the frame of the Empire State Building. According to the excerpt ""over sixty thousand dollars' worth of modifications had to be made to the framework."" Another big obstacle was safety. At the Empire State Building's hight it would have been illegal to land a dirigible. The dirigibles, at that time, were filled with hydrogen. If the dirigible ever exploded, it would threaten the hundreds. of pedestrians on the streets of New York City.",3,builder empire state building faced many obstacle attempt allow dirigible dock one major obstacle constructing mooring mast would threaten building structure builder modify strengthen frame empire state building according excerpt sixty thousand dollar worth modification made framework another big obstacle safety empire state building hight would illegal land dirigible dirigible time filled hydrogen dirigible ever exploded would threaten hundred pedestrian street new york city,0.75
